"","X1","fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc"
"6756",221780,783,201801,"9",204712,40380,0,1,"I",75,27,41000,75,4.5,"R","N","FRM","NY","SF","14600","F117Q4221780","P",360,1,"Other sellers","Other servicers",NA
"6757",221787,783,201801,"9",204712,40380,0,1,"I",75,26,41000,75,4.5,"R","N","FRM","NY","SF","14600","F117Q4221787","P",360,1,"Other sellers","Other servicers",NA
"6758",221789,804,201802,"N",203801,20524,0,1,"P",80,30,216000,80,3.625,"R","N","FRM","NY","SF","12500","F117Q4221789","P",240,2,"Other sellers","Other servicers",NA
"6759",221798,807,201802,"Y",204801,35614,0,1,"P",45,27,90000,45,4.125,"R","N","FRM","NY","CP","11400","F117Q4221798","P",360,1,"Other sellers","FREEDOMMTGECORP",NA
"6760",221913,791,201802,"9",203801,35614,0,1,"P",48,29,2e+05,48,3.75,"R","N","FRM","NY","SF","10900","F117Q4221913","C",240,2,"Other sellers","Other servicers",NA
"6761",222132,815,201801,"N",204712,40380,0,1,"P",50,46,154000,50,4.125,"R","N","FRM","NY","PU","14400","F117Q4222132","P",360,2,"Other sellers","Other servicers",NA
"6762",222332,670,201802,"Y",204801,35004,0,1,"P",95,48,551000,95,5,"R","N","FRM","NY","SF","11700","F117Q4222332","P",360,2,"Other sellers","NATIONSTARMTGELLCDBA","Y"
"6763",222344,779,201802,"Y",204801,35614,0,1,"P",80,21,130000,80,4.375,"R","N","FRM","NY","CO","10900","F117Q4222344","P",360,2,"Other sellers","Other servicers",NA
"6764",222349,757,201802,"9",204801,35614,0,1,"I",75,29,240000,75,4.875,"B","N","FRM","NY","CO","10900","F117Q4222349","C",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6765",222374,814,201801,"Y",204712,15380,0,1,"P",80,41,84000,80,4,"C","N","FRM","NY","SF","14200","F117Q4222374","P",360,1,"Other sellers","Other servicers",NA
"6766",222413,665,201801,"Y",204712,15380,30,1,"P",95,39,137000,95,4.375,"C","N","FRM","NY","SF","14200","F117Q4222413","P",360,2,"Other sellers","Other servicers",NA
"6767",222416,760,201802,"9",204801,15380,0,2,"I",75,31,116000,75,4.25,"C","N","FRM","NY","SF","14200","F117Q4222416","P",360,1,"Other sellers","Other servicers",NA
"6768",222417,696,201801,"Y",204712,15380,0,1,"P",80,39,142000,80,4.25,"C","N","FRM","NY","SF","14200","F117Q4222417","P",360,2,"Other sellers","Other servicers",NA
"6769",222423,661,201801,"9",204712,35614,0,2,"I",38,34,533000,38,4.875,"C","N","FRM","NY","SF","11300","F117Q4222423","C",360,1,"Other sellers","Other servicers",NA
"6770",222434,702,201802,"Y",204801,35004,0,1,"P",70,4,404000,70,4.375,"R","N","FRM","NY","SF","11000","F117Q4222434","P",360,2,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6771",222482,780,201802,"N",204801,35004,25,1,"P",90,38,603000,90,3.625,"R","N","FRM","NY","SF","11000","F117Q4222482","P",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC","Y"
"6772",222490,724,201802,"Y",204801,35614,0,1,"P",80,29,390000,80,3.875,"R","N","FRM","NY","SF","10900","F117Q4222490","P",360,2,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6773",222502,693,201802,"Y",204801,35614,0,1,"P",78,31,544000,78,4.75,"R","N","FRM","NY","SF","10500","F117Q4222502","P",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC","Y"
"6774",222511,708,201802,"Y",204801,35004,0,1,"P",80,41,380000,80,4.125,"B","N","FRM","NY","SF","11500","F117Q4222511","P",360,1,"LOANDEPOTCOM,LLC","JPMORGANCHASEBANK,NA",NA
"6775",222535,736,201802,"Y",204801,35614,0,1,"P",80,50,90000,80,4.75,"B","N","FRM","NY","CP","10400","F117Q4222535","P",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6776",222566,741,201802,"9",203301,35614,0,1,"P",76,46,438000,76,3.5,"R","N","FRM","NY","SF","10700","F117Q4222566","C",180,2,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC","Y"
"6777",222568,762,201802,"N",204801,35614,30,1,"P",95,48,456000,95,4,"R","N","FRM","NY","PU","10800","F117Q4222568","P",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC","Y"
"6778",222572,792,201801,"9",204712,35614,0,1,"I",77,25,372000,77,4.75,"B","N","FRM","NY","SF","10900","F117Q4222572","P",360,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6779",222585,684,201802,"9",203301,10580,0,1,"I",67,38,177000,67,4.5,"R","N","FRM","NY","SF","12800","F117Q4222585","C",180,1,"LOANDEPOTCOM,LLC","LOANDEPOTCOM,LLC",NA
"6780",222719,820,201802,"9",203301,40380,0,1,"P",62,39,124000,62,3.375,"R","N","FRM","NY","PU","14400","F117Q4222719","N",180,1,"Other sellers","Other servicers",NA
"6781",222737,783,201802,"9",204801,NA,0,1,"S",75,35,278000,75,4,"R","N","FRM","NY","CO","12400","F117Q4222737","P",360,2,"Other sellers","Other servicers",NA
"6782",222745,782,201802,"N",203801,NA,0,1,"P",80,40,84000,80,3.625,"R","N","FRM","NY","SF","14700","F117Q4222745","P",240,1,"Other sellers","Other servicers",NA
